Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
8,-0.26,0.64,0.73,1.00,2.38,-4.27,-1.12,5.02,TYPING
67,-0.24,0.64,0.75,1.02,-1.68,-6.72,2.52,7.37,TYPING
126,-0.25,0.65,0.75,1.03,4.34,-1.61,-1.82,4.97,TYPING
184,-0.27,0.65,0.74,1.02,3.36,-2.17,-1.96,4.45,TYPING
243,-0.27,0.66,0.72,1.01,3.43,-2.38,-0.91,4.27,TYPING
302,-0.26,0.67,0.71,1.01,-1.54,-4.62,-1.33,5.05,TYPING
360,-0.27,0.65,0.74,1.02,-0.56,-3.99,-0.35,4.04,TYPING
419,-0.25,0.65,0.75,1.02,-0.91,-1.47,1.40,2.22,TYPING
477,-0.26,0.65,0.75,1.03,-0.42,-0.07,0.84,0.94,TYPING
536,-0.27,0.66,0.71,1.01,-1.47,-0.98,-1.19,2.13,TYPING
595,-0.26,0.64,0.72,1.00,1.05,-1.40,1.61,2.38,TYPING
654,-0.25,0.66,0.76,1.03,0.84,-2.59,-0.28,2.74,TYPING
713,-0.25,0.64,0.73,1.01,1.96,-2.03,-1.05,3.01,TYPING
771,-0.25,0.65,0.73,1.01,1.33,-1.61,-1.33,2.48,TYPING
830,-0.26,0.65,0.75,1.02,-2.03,-1.47,0.35,2.53,TYPING
888,-0.25,0.65,0.73,1.01,1.05,-2.17,-0.56,2.47,TYPING
947,-0.26,0.65,0.74,1.02,1.75,-2.59,-0.49,3.16,TYPING
1006,-0.25,0.66,0.74,1.02,1.26,-2.31,0.00,2.63,TYPING
1064,-0.26,0.65,0.73,1.01,0.00,-1.89,0.00,1.89,TYPING
1123,-0.26,0.65,0.74,1.02,1.40,-2.03,-1.19,2.74,TYPING
1181,-0.26,0.66,0.74,1.02,0.42,-2.17,-0.42,2.25,TYPING
1240,-0.25,0.66,0.74,1.02,-0.28,-2.17,-1.19,2.49,TYPING
1299,-0.25,0.65,0.75,1.02,-0.70,-2.03,-0.49,2.20,TYPING
1357,-0.26,0.64,0.74,1.01,0.56,-0.42,-0.35,0.78,TYPING
1416,-0.26,0.66,0.74,1.03,-1.40,-2.17,0.07,2.58,TYPING
1474,-0.26,0.65,0.74,1.02,2.87,-4.27,-0.63,5.18,TYPING
1533,-0.26,0.64,0.75,1.02,0.42,-2.87,-0.35,2.92,TYPING
1592,-0.25,0.66,0.74,1.02,-0.42,-2.45,-0.49,2.53,TYPING
1650,-0.26,0.65,0.74,1.02,-0.42,-2.38,-0.42,2.45,TYPING
1709,-0.26,0.64,0.75,1.02,0.70,-2.03,-0.77,2.28,TYPING
1767,-0.26,0.64,0.75,1.02,-0.98,-3.29,-0.56,3.48,TYPING
1826,-0.26,0.65,0.74,1.02,0.35,-1.26,-0.28,1.34,TYPING
1885,-0.25,0.64,0.75,1.02,-0.84,-1.82,-1.05,2.26,TYPING
1943,-0.26,0.65,0.73,1.01,-1.19,-2.24,-1.05,2.75,TYPING
2002,-0.26,0.65,0.75,1.02,-0.63,-2.31,-1.05,2.61,TYPING
2060,-0.26,0.63,0.75,1.01,-0.98,-2.52,-0.77,2.81,TYPING
2119,-0.26,0.65,0.74,1.02,-0.77,-2.59,-1.19,2.95,TYPING
2177,-0.27,0.65,0.74,1.02,-2.10,-2.59,-1.47,3.64,TYPING
2236,-0.26,0.64,0.73,1.01,-6.16,-2.80,-1.68,6.97,TYPING
2296,-0.28,0.65,0.74,1.02,-7.00,-3.92,-1.12,8.10,TYPING
2354,-0.26,0.62,0.78,1.03,-9.66,-2.66,0.00,10.02,TYPING
2413,-0.26,0.59,0.78,1.01,-2.66,-1.47,-0.07,3.04,TYPING
2471,-0.31,0.65,0.71,1.01,-3.43,-3.50,0.35,4.91,TYPING
2530,-0.30,0.68,0.74,1.05,-8.61,-3.36,1.54,9.37,TYPING
2589,-0.22,0.56,0.77,0.98,-3.36,-2.66,-0.70,4.34,TYPING
2647,-0.21,0.59,0.83,1.04,0.21,1.33,3.85,4.08,TYPING
2706,-0.24,0.64,0.77,1.03,0.00,0.35,-1.47,1.51,TYPING
2765,-0.28,0.61,0.74,1.00,0.35,-2.52,0.84,2.68,TYPING
2824,-0.27,0.63,0.76,1.02,6.79,3.01,1.19,7.52,TYPING
2883,-0.28,0.61,0.77,1.02,-0.14,-2.59,-2.73,3.77,TYPING
2941,-0.26,0.62,0.81,1.05,-2.73,-4.55,-5.39,7.56,TYPING
3000,-0.29,0.63,0.72,1.00,-1.82,-2.03,-2.59,3.76,TYPING
3058,-0.24,0.63,0.80,1.04,-4.20,-4.06,-2.52,6.36,TYPING
3117,-0.26,0.57,0.81,1.02,-2.31,-1.19,0.91,2.75,TYPING
3175,-0.32,0.57,0.72,0.97,-0.98,4.34,1.54,4.71,TYPING
3233,-0.25,0.62,0.80,1.04,1.40,-0.49,1.96,2.46,TYPING
3292,-0.24,0.58,0.74,0.97,-9.66,-3.29,-3.29,10.72,TYPING
3350,-0.29,0.57,0.73,0.97,-2.94,-0.70,1.75,3.49,TYPING
3409,-0.21,0.72,0.88,1.16,0.63,-3.08,1.61,3.53,TYPING
3468,-0.22,0.55,0.77,0.97,-2.73,-3.92,-1.12,4.91,TYPING
3526,-0.25,0.57,0.73,0.96,0.42,-8.40,-0.91,8.46,TYPING
3585,-0.26,0.59,0.79,1.02,-0.98,-1.54,0.70,1.95,TYPING
3643,-0.24,0.58,0.79,1.00,-1.12,-0.21,-0.56,1.27,TYPING
3702,-0.26,0.58,0.80,1.02,0.49,0.00,-1.68,1.75,TYPING
3760,-0.25,0.56,0.79,1.00,1.33,-2.10,-0.84,2.62,TYPING
3819,-0.25,0.56,0.80,1.01,1.89,-3.08,0.77,3.69,TYPING
3878,-0.25,0.58,0.78,1.01,2.38,-4.27,-0.70,4.94,TYPING
3936,-0.26,0.58,0.80,1.02,5.25,-4.27,1.82,7.01,TYPING
3995,-0.26,0.59,0.79,1.02,3.92,-2.38,0.35,4.60,TYPING
4053,-0.23,0.60,0.80,1.02,3.08,-3.99,0.98,5.13,TYPING
4112,-0.25,0.60,0.78,1.01,-0.49,-5.11,0.21,5.14,TYPING
4171,-0.24,0.58,0.79,1.01,-1.19,-3.64,0.63,3.88,TYPING
4229,-0.24,0.61,0.80,1.03,-2.24,-5.25,0.77,5.76,TYPING
4288,-0.24,0.59,0.80,1.03,-2.10,-4.48,0.07,4.95,TYPING
4346,-0.24,0.60,0.80,1.03,1.96,-2.10,1.61,3.29,TYPING
4405,-0.24,0.60,0.79,1.02,0.77,0.56,-0.91,1.32,TYPING
4464,-0.22,0.60,0.75,0.98,1.89,0.98,0.42,2.17,TYPING
4522,-0.24,0.57,0.78,1.00,-4.62,-4.13,0.28,6.20,TYPING
4581,-0.25,0.59,0.82,1.04,-0.84,-1.89,0.00,2.07,TYPING
4639,-0.23,0.60,0.78,1.01,-0.49,-2.87,-1.12,3.12,TYPING
4698,-0.24,0.58,0.80,1.02,-2.17,-2.94,-0.84,3.75,TYPING
4757,-0.23,0.59,0.81,1.03,-0.14,1.82,-0.42,1.87,TYPING
