
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.856,-0.362,-0.255,0.964,50.4,10.9,-65.3,83.20,ARM_SWING
50,0.911,-0.410,-0.261,1.033,55.0,7.7,-72.5,91.33,ARM_SWING
100,0.898,-0.463,-0.170,1.025,63.4,0.2,-72.8,96.54,ARM_SWING
150,0.882,-0.540,-0.201,1.054,55.2,9.1,-61.9,83.44,ARM_SWING
200,0.826,-0.538,-0.279,1.024,26.2,19.0,-46.5,56.65,ARM_SWING
250,0.827,-0.458,-0.227,0.972,-2.7,8.1,-43.6,44.43,ARM_SWING
300,0.859,-0.527,-0.238,1.035,12.1,9.3,-19.7,24.92,ARM_SWING
350,0.894,-0.518,-0.289,1.073,15.2,-4.3,-2.4,15.98,ARM_SWING
400,0.899,-0.553,-0.298,1.097,-6.7,-19.9,12.8,24.59,ARM_SWING
450,0.863,-0.599,-0.258,1.082,-23.5,-29.8,35.5,51.97,ARM_SWING
500,0.817,-0.542,-0.193,0.999,-39.3,-17.2,49.4,65.43,ARM_SWING
550,0.789,-0.545,-0.132,0.968,-27.6,-4.4,51.4,58.51,ARM_SWING
600,0.877,-0.665,-0.173,1.114,-58.7,16.1,59.6,85.19,ARM_SWING
650,0.962,-0.579,-0.133,1.131,-77.5,6.1,73.0,106.64,ARM_SWING
700,0.944,-0.549,-0.154,1.103,-64.1,4.9,88.4,109.30,ARM_SWING
750,0.904,-0.484,-0.176,1.040,-71.1,13.3,88.6,114.38,ARM_SWING
800,0.940,-0.411,-0.121,1.033,-85.2,14.4,76.5,115.41,ARM_SWING
850,0.842,-0.421,-0.221,0.967,-59.1,12.3,64.4,88.27,ARM_SWING
900,0.788,-0.484,-0.277,0.965,-46.0,10.1,54.9,72.33,ARM_SWING
950,0.787,-0.446,-0.322,0.960,-44.5,6.1,45.0,63.58,ARM_SWING
1000,0.792,-0.433,-0.299,0.951,-34.6,0.9,26.7,43.71,ARM_SWING
1050,0.806,-0.440,-0.382,0.995,-4.7,-4.4,14.4,15.77,ARM_SWING
1100,0.763,-0.436,-0.346,0.944,16.5,-4.5,5.2,17.88,ARM_SWING
1150,0.788,-0.370,-0.373,0.947,-4.9,0.7,-6.1,7.86,ARM_SWING
1200,0.826,-0.361,-0.346,0.966,18.6,-8.3,-32.1,38.02,ARM_SWING
1250,0.815,-0.372,-0.322,0.952,31.5,-16.5,-54.1,64.74,ARM_SWING
1300,0.802,-0.427,-0.327,0.966,69.5,-18.2,-66.9,98.17,ARM_SWING
1350,0.816,-0.421,-0.278,0.959,83.0,-14.5,-82.3,117.78,ARM_SWING
1400,0.874,-0.482,-0.247,1.028,70.2,-16.4,-88.2,113.91,ARM_SWING
1450,0.907,-0.527,-0.291,1.089,47.8,-3.9,-88.6,100.75,ARM_SWING
1500,0.885,-0.534,-0.245,1.062,44.5,-0.7,-76.3,88.33,ARM_SWING
1550,0.864,-0.565,-0.244,1.061,43.4,-18.6,-59.2,75.72,ARM_SWING
1600,0.812,-0.495,-0.133,0.960,49.4,-9.0,-48.7,69.95,ARM_SWING
1650,0.789,-0.458,-0.180,0.930,33.8,-5.1,-48.8,59.58,ARM_SWING
1700,0.778,-0.414,-0.285,0.926,17.8,4.4,-42.2,46.01,ARM_SWING
1750,0.792,-0.440,-0.277,0.947,10.3,8.9,-33.8,36.44,ARM_SWING
1800,0.828,-0.563,-0.307,1.047,9.9,6.5,-16.8,20.55,ARM_SWING
1850,0.884,-0.582,-0.324,1.107,10.1,-2.9,1.8,10.66,ARM_SWING
1900,0.905,-0.590,-0.307,1.123,11.0,-14.0,23.4,29.40,ARM_SWING
1950,0.868,-0.480,-0.279,1.030,11.7,-12.3,41.7,45.02,ARM_SWING
2000,0.934,-0.488,-0.240,1.081,-9.5,-18.6,46.6,51.07,ARM_SWING
2050,0.898,-0.551,-0.189,1.070,-27.1,-7.2,63.9,69.78,ARM_SWING
2100,0.950,-0.488,-0.182,1.083,-34.5,4.5,71.4,79.43,ARM_SWING
2150,0.927,-0.488,-0.147,1.058,-24.7,-6.0,70.7,75.13,ARM_SWING
2200,0.911,-0.496,-0.145,1.047,-27.5,5.1,66.7,72.33,ARM_SWING
2250,0.887,-0.504,-0.180,1.036,-38.7,9.4,66.2,77.26,ARM_SWING
2300,0.809,-0.506,-0.114,0.961,-19.4,19.5,62.5,68.29,ARM_SWING
2350,0.831,-0.503,-0.227,0.998,-78.4,26.5,51.8,97.63,ARM_SWING
2400,0.845,-0.578,-0.258,1.056,-79.1,28.4,51.3,98.46,ARM_SWING
2450,0.754,-0.504,-0.276,0.948,-65.2,31.0,47.6,86.47,ARM_SWING
2500,0.779,-0.463,-0.333,0.965,-50.7,21.0,38.7,67.15,ARM_SWING
2550,0.763,-0.446,-0.289,0.930,-38.5,18.9,25.4,49.85,ARM_SWING
2600,0.777,-0.440,-0.376,0.969,-21.7,5.8,8.4,23.98,ARM_SWING
2650,0.783,-0.436,-0.377,0.972,-11.1,1.6,2.5,11.49,ARM_SWING
2700,0.753,-0.430,-0.365,0.941,5.8,-6.3,-6.7,10.87,ARM_SWING
2750,0.763,-0.416,-0.369,0.944,16.2,-16.4,-24.3,33.49,ARM_SWING
2800,0.771,-0.433,-0.374,0.960,27.0,-21.4,-32.6,47.43,ARM_SWING
2850,0.780,-0.413,-0.296,0.931,32.9,-22.1,-43.8,59.07,ARM_SWING
2900,0.782,-0.382,-0.275,0.913,60.4,-18.3,-59.1,86.46,ARM_SWING
2950,0.806,-0.405,-0.237,0.933,72.3,-17.5,-71.8,103.39,ARM_SWING
3000,0.836,-0.436,-0.193,0.962,69.7,-9.1,-80.5,106.87,ARM_SWING
3050,0.866,-0.430,-0.179,0.983,58.4,-10.2,-82.1,101.27,ARM_SWING
3100,0.962,-0.455,-0.259,1.095,53.4,-15.7,-84.0,100.77,ARM_SWING
3150,0.971,-0.480,-0.186,1.099,65.3,-13.3,-80.9,104.81,ARM_SWING
3200,0.936,-0.511,-0.213,1.087,46.1,0.4,-65.2,79.85,ARM_SWING
3250,0.883,-0.510,-0.235,1.046,0.7,5.0,-49.2,49.46,ARM_SWING
3300,0.835,-0.437,-0.286,0.985,15.1,9.0,-36.8,40.78,ARM_SWING
3350,0.856,-0.447,-0.279,1.005,37.9,12.6,-27.3,48.38,ARM_SWING
3400,0.873,-0.371,-0.260,0.984,19.7,1.7,-21.3,29.06,ARM_SWING
3450,0.925,-0.317,-0.254,1.010,81.3,-22.6,-11.1,85.11,ARM_SWING
3500,0.916,-0.518,-0.167,1.065,48.9,-18.6,8.6,53.02,ARM_SWING
3550,0.947,-0.397,-0.195,1.045,-13.1,-12.8,23.4,29.72,ARM_SWING
3600,0.924,-0.447,-0.197,1.045,-13.2,-10.0,36.3,39.90,ARM_SWING
3650,0.898,-0.472,-0.204,1.035,-25.2,3.5,42.2,49.28,ARM_SWING
3700,0.926,-0.481,-0.186,1.060,-30.3,1.8,44.1,53.54,ARM_SWING
3750,0.914,-0.516,-0.150,1.060,-40.6,-1.6,50.9,65.13,ARM_SWING
3800,0.938,-0.514,-0.146,1.080,-50.0,0.5,64.1,81.30,ARM_SWING
3850,0.886,-0.510,-0.132,1.031,-57.1,10.1,77.2,96.55,ARM_SWING
3900,0.887,-0.522,-0.180,1.045,-70.3,23.2,77.2,106.96,ARM_SWING
3950,0.851,-0.519,-0.313,1.045,-49.1,7.5,83.7,97.33,ARM_SWING
4000,0.839,-0.500,-0.198,0.997,-78.0,12.2,80.0,112.40,ARM_SWING
4050,0.814,-0.545,-0.220,1.004,-82.5,22.5,71.5,111.47,ARM_SWING
4100,0.828,-0.523,-0.262,1.014,-66.9,23.4,63.4,95.09,ARM_SWING
4150,0.819,-0.538,-0.283,1.020,-53.5,16.4,60.0,82.04,ARM_SWING
4200,0.767,-0.533,-0.286,0.977,-47.7,25.1,51.1,74.27,ARM_SWING
4250,0.793,-0.439,-0.376,0.981,-30.4,10.5,37.2,49.18,ARM_SWING
4300,0.742,-0.401,-0.386,0.928,-25.6,4.8,24.2,35.55,ARM_SWING
4350,0.742,-0.371,-0.420,0.930,-4.2,-17.5,-3.6,18.35,ARM_SWING
4400,0.734,-0.408,-0.371,0.918,4.2,-3.2,-14.8,15.71,ARM_SWING
4450,0.736,-0.429,-0.385,0.935,10.9,-9.3,-31.2,34.33,ARM_SWING
4500,0.738,-0.478,-0.322,0.936,43.0,-19.8,-43.1,64.02,ARM_SWING
4550,0.773,-0.449,-0.343,0.957,45.9,-26.8,-55.7,76.99,ARM_SWING
4600,0.780,-0.439,-0.277,0.937,65.2,-32.4,-67.2,99.08,ARM_SWING
4650,0.789,-0.465,-0.230,0.944,70.0,-22.5,-78.8,107.78,ARM_SWING
4700,0.871,-0.488,-0.249,1.029,70.8,-16.8,-84.9,111.82,ARM_SWING
4750,0.850,-0.503,-0.196,1.007,63.9,-18.4,-79.2,103.41,ARM_SWING
4800,0.866,-0.495,-0.200,1.017,63.0,-25.2,-75.2,101.29,ARM_SWING
4850,0.836,-0.516,-0.176,0.998,74.3,-20.4,-68.6,103.16,ARM_SWING
4900,0.801,-0.510,-0.155,0.962,66.4,-2.8,-62.3,91.09,ARM_SWING
4950,0.801,-0.513,-0.185,0.969,48.2,1.0,-49.6,69.17,ARM_SWING
5000,0.817,-0.514,-0.237,0.994,44.8,2.4,-41.0,60.78,ARM_SWING
5050,0.840,-0.558,-0.233,1.035,18.2,3.9,-31.4,36.50,ARM_SWING
5100,0.894,-0.537,-0.245,1.071,43.4,12.8,-11.4,46.66,ARM_SWING
5150,0.911,-0.538,-0.264,1.090,35.5,1.8,12.0,37.52,ARM_SWING
5200,0.917,-0.527,-0.235,1.083,17.2,-6.6,20.7,27.71,ARM_SWING
5250,0.927,-0.529,-0.235,1.093,4.1,-7.0,30.0,31.08,ARM_SWING
5300,0.925,-0.565,-0.231,1.108,-20.3,-0.7,37.9,43.00,ARM_SWING
5350,0.887,-0.562,-0.235,1.076,-30.5,-1.9,38.7,49.31,ARM_SWING
5400,0.878,-0.542,-0.260,1.064,-24.5,-7.1,46.3,52.86,ARM_SWING
5450,0.909,-0.615,-0.231,1.122,-30.1,-14.7,52.7,62.45,ARM_SWING
5500,0.938,-0.578,-0.213,1.122,-44.3,-4.9,60.0,74.74,ARM_SWING
5550,0.887,-0.574,-0.201,1.075,-58.0,-0.9,68.1,89.46,ARM_SWING
5600,0.839,-0.588,-0.211,1.046,-64.8,0.4,78.1,101.48,ARM_SWING
5650,0.818,-0.583,-0.292,1.046,-75.5,-0.5,72.3,104.54,ARM_SWING
5700,0.759,-0.543,-0.201,0.955,-14.0,-4.6,65.4,67.04,ARM_SWING
5750,0.691,-0.674,-0.248,0.997,-12.0,-0.7,64.4,65.51,ARM_SWING
5800,0.641,-0.632,-0.218,0.926,-46.6,8.6,64.1,79.71,ARM_SWING
5850,0.623,-0.512,-0.253,0.845,-43.7,15.1,48.5,67.01,ARM_SWING
5900,0.654,-0.492,-0.299,0.871,-32.6,13.3,31.5,47.24,ARM_SWING
5950,0.688,-0.488,-0.349,0.913,-30.6,17.0,11.1,36.72,ARM_SWING
6000,0.688,-0.457,-0.374,0.907,-10.4,6.5,-14.4,18.91,ARM_SWING
6050,0.714,-0.433,-0.397,0.925,-8.3,-0.9,-33.9,34.91,ARM_SWING
6100,0.737,-0.482,-0.400,0.967,18.4,-4.3,-55.3,58.44,ARM_SWING
6150,0.775,-0.488,-0.386,0.994,32.5,-5.2,-66.4,74.11,ARM_SWING
6200,0.768,-0.484,-0.323,0.964,55.2,-8.6,-69.7,89.33,ARM_SWING
6250,0.779,-0.509,-0.305,0.979,54.4,-13.7,-81.9,99.27,ARM_SWING
6300,0.780,-0.534,-0.256,0.979,52.7,-22.8,-81.5,99.70,ARM_SWING
6350,0.788,-0.547,-0.231,0.987,52.3,-20.3,-78.1,96.16,ARM_SWING
6400,0.820,-0.564,-0.234,1.022,55.4,-24.3,-70.3,92.75,ARM_SWING
6450,0.851,-0.630,-0.170,1.072,52.3,-21.4,-54.8,78.72,ARM_SWING
6500,0.805,-0.574,-0.212,1.011,29.0,-14.5,-32.3,45.77,ARM_SWING
6550,0.783,-0.584,-0.251,1.009,33.3,-4.9,-18.3,38.31,ARM_SWING
6600,0.777,-0.561,-0.299,1.004,10.1,8.8,-11.1,17.40,ARM_SWING
6650,0.789,-0.558,-0.345,1.026,9.8,9.5,-9.4,16.57,ARM_SWING
6700,0.813,-0.568,-0.367,1.057,7.4,13.3,-5.8,16.29,ARM_SWING
6750,0.871,-0.559,-0.391,1.106,-8.5,6.0,2.5,10.70,ARM_SWING
