
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
1,0.809,-0.504,-0.269,0.990,0.0,0.6,-2.8,2.86,ARM_SWING
50,0.806,-0.506,-0.266,0.988,-0.2,0.2,-4.0,4.01,ARM_SWING
100,0.802,-0.509,-0.264,0.986,4.8,-4.5,-0.6,6.61,ARM_SWING
150,0.806,-0.512,-0.269,0.992,3.5,-4.2,0.0,5.47,ARM_SWING
200,0.807,-0.509,-0.269,0.991,2.8,-4.9,0.3,5.65,ARM_SWING
250,0.799,-0.507,-0.263,0.982,2.4,-0.8,-3.0,3.92,ARM_SWING
300,0.808,-0.512,-0.261,0.992,0.1,-2.1,-3.6,4.17,ARM_SWING
350,0.810,-0.514,-0.267,0.996,1.4,2.1,1.6,2.99,ARM_SWING
400,0.812,-0.376,-0.278,0.937,1.3,-3.9,0.7,4.17,ARM_SWING
450,0.842,-0.481,-0.271,1.007,2.5,-13.1,1.6,13.43,ARM_SWING
500,0.834,-0.473,-0.257,0.993,7.7,-10.0,3.7,13.15,ARM_SWING
550,0.823,-0.442,-0.247,0.966,21.1,-17.2,-3.7,27.47,ARM_SWING
600,0.837,-0.470,-0.264,0.996,23.1,-17.5,-9.3,30.44,ARM_SWING
650,0.849,-0.467,-0.265,1.005,28.8,-23.5,-7.8,37.98,ARM_SWING
700,0.826,-0.486,-0.253,0.991,24.2,-20.3,-11.1,33.48,ARM_SWING
750,0.847,-0.483,-0.267,1.011,29.1,-13.6,-15.3,35.58,ARM_SWING
800,0.853,-0.468,-0.260,1.007,24.3,-10.7,-35.3,44.17,ARM_SWING
850,0.866,-0.451,-0.280,1.016,34.7,-15.7,-18.4,42.30,ARM_SWING
900,0.818,-0.454,-0.272,0.974,51.5,-31.0,-18.0,62.75,ARM_SWING
950,0.780,-0.486,-0.244,0.951,40.4,-24.7,-25.5,53.78,ARM_SWING
1000,0.798,-0.510,-0.225,0.973,29.7,-18.2,-34.9,49.31,ARM_SWING
1050,0.815,-0.541,-0.224,1.004,30.2,-22.0,-29.6,47.67,ARM_SWING
1100,0.826,-0.537,-0.219,1.009,24.2,-34.0,-23.6,47.94,ARM_SWING
1150,0.833,-0.459,-0.216,0.975,21.2,-10.7,-16.9,29.15,ARM_SWING
1200,0.793,-0.537,-0.227,0.984,13.5,-11.4,-6.3,18.76,ARM_SWING
1250,0.774,-0.537,-0.271,0.980,1.1,0.2,-1.5,1.87,ARM_SWING
1300,0.707,-0.623,-0.276,0.982,5.4,8.2,0.6,9.84,ARM_SWING
1350,0.739,-0.599,-0.289,0.994,-7.9,2.5,8.3,11.73,ARM_SWING
1400,0.754,-0.622,-0.300,1.022,-15.2,-1.0,20.9,25.86,ARM_SWING
1450,0.708,-0.613,-0.270,0.975,-28.2,5.1,25.4,38.29,ARM_SWING
1500,0.704,-0.658,-0.258,0.998,-40.2,5.3,31.9,51.59,ARM_SWING
1550,0.810,-0.633,-0.279,1.065,-37.8,-0.8,43.3,57.48,ARM_SWING
1600,0.826,-0.639,-0.270,1.079,-12.8,-11.7,51.0,53.87,ARM_SWING
1650,0.817,-0.715,-0.259,1.116,-15.2,-5.8,68.5,70.41,ARM_SWING
1700,0.780,-0.644,-0.271,1.047,-19.3,3.7,75.7,78.21,ARM_SWING
1750,0.733,-0.658,-0.299,1.029,-21.4,9.1,71.1,74.81,ARM_SWING
1800,0.710,-0.674,-0.308,1.026,-29.1,8.7,68.9,75.30,ARM_SWING
1850,0.733,-0.667,-0.329,1.044,-34.0,10.0,68.1,76.77,ARM_SWING
1900,0.731,-0.635,-0.332,1.024,-36.6,5.5,65.3,75.06,ARM_SWING
1950,0.714,-0.634,-0.313,1.005,-38.9,4.7,59.5,71.24,ARM_SWING
2000,0.691,-0.598,-0.294,0.960,-31.9,1.4,53.3,62.13,ARM_SWING
2050,0.653,-0.549,-0.292,0.902,-31.4,5.2,40.5,51.51,ARM_SWING
2100,0.622,-0.532,-0.305,0.873,-26.8,3.1,22.8,35.32,ARM_SWING
2150,0.610,-0.548,-0.316,0.879,-20.9,5.8,9.2,23.56,ARM_SWING
2200,0.595,-0.561,-0.347,0.888,-14.9,15.8,-10.9,24.30,ARM_SWING
2250,0.604,-0.596,-0.398,0.937,0.5,11.4,-22.8,25.50,ARM_SWING
2300,0.631,-0.612,-0.396,0.964,32.1,0.1,-31.1,44.69,ARM_SWING
2350,0.635,-0.628,-0.360,0.963,39.7,-4.9,-43.4,59.02,ARM_SWING
2400,0.655,-0.639,-0.305,0.965,36.0,3.9,-52.0,63.37,ARM_SWING
2450,0.676,-0.604,-0.277,0.948,25.3,13.7,-61.8,68.17,ARM_SWING
2500,0.691,-0.581,-0.267,0.941,19.6,17.4,-74.8,79.26,ARM_SWING
2550,0.745,-0.574,-0.263,0.977,14.1,24.7,-97.3,101.37,ARM_SWING
2600,0.841,-0.611,-0.279,1.076,23.5,18.4,-104.3,108.49,ARM_SWING
2650,0.915,-0.639,-0.291,1.153,25.5,16.2,-91.7,96.55,ARM_SWING
2700,0.980,-0.621,-0.293,1.197,30.9,6.9,-62.3,69.88,ARM_SWING
2750,0.954,-0.554,-0.292,1.141,44.6,-5.1,-35.0,56.92,ARM_SWING
2800,0.900,-0.444,-0.235,1.031,48.4,-15.2,-20.7,54.79,ARM_SWING
2850,0.906,-0.367,-0.283,1.018,88.4,-26.8,-21.7,94.89,ARM_SWING
2900,0.838,-0.468,-0.185,0.977,56.5,-36.9,-19.5,70.24,ARM_SWING
2950,0.801,-0.491,-0.204,0.961,45.2,-20.5,-26.8,56.41,ARM_SWING
3000,0.768,-0.519,-0.241,0.958,67.3,-13.8,-27.5,74.00,ARM_SWING
3050,0.775,-0.537,-0.275,0.982,62.1,-11.2,-21.4,66.63,ARM_SWING
3100,0.753,-0.557,-0.277,0.977,37.8,-3.8,-9.9,39.26,ARM_SWING
3150,0.778,-0.573,-0.263,1.001,11.4,-6.2,1.0,13.02,ARM_SWING
3200,0.799,-0.582,-0.254,1.021,-21.2,-15.7,8.4,27.69,ARM_SWING
3250,0.792,-0.590,-0.215,1.011,-24.2,-13.2,19.5,33.77,ARM_SWING
3300,0.802,-0.580,-0.210,1.012,-28.9,-11.0,27.4,41.32,ARM_SWING
3350,0.827,-0.596,-0.192,1.037,-21.9,-4.4,40.5,46.25,ARM_SWING
3400,0.800,-0.611,-0.165,1.020,-32.4,10.5,51.8,61.99,ARM_SWING
3450,0.863,-0.603,-0.175,1.067,-49.1,16.0,59.3,78.63,ARM_SWING
3500,0.904,-0.570,-0.214,1.090,-49.0,17.9,68.3,85.94,ARM_SWING
3550,0.911,-0.543,-0.218,1.083,-34.7,4.8,67.4,75.96,ARM_SWING
3600,0.887,-0.563,-0.231,1.076,-21.2,0.0,77.2,80.06,ARM_SWING
3650,0.854,-0.592,-0.272,1.074,-23.9,5.1,82.1,85.66,ARM_SWING
3700,0.822,-0.643,-0.326,1.093,-26.8,0.0,87.2,91.23,ARM_SWING
3750,0.758,-0.678,-0.334,1.070,-32.8,0.2,90.1,95.88,ARM_SWING
3800,0.705,-0.701,-0.431,1.084,-28.4,-1.5,95.2,99.36,ARM_SWING
3850,0.631,-0.662,-0.347,0.978,-26.4,-10.1,91.5,95.77,ARM_SWING
3900,0.543,-0.600,-0.319,0.870,-26.3,-4.6,68.3,73.33,ARM_SWING
3950,0.497,-0.625,-0.303,0.854,-28.1,-8.2,48.5,56.65,ARM_SWING
4000,0.465,-0.605,-0.322,0.828,-22.3,-4.3,30.3,37.87,ARM_SWING
4050,0.449,-0.624,-0.327,0.835,-12.4,-0.9,7.9,14.73,ARM_SWING
4100,0.460,-0.627,-0.338,0.848,-6.1,4.2,-14.7,16.46,ARM_SWING
4150,0.509,-0.652,-0.343,0.895,5.7,-0.4,-29.2,29.75,ARM_SWING
4200,0.542,-0.681,-0.331,0.931,13.2,7.6,-43.4,46.00,ARM_SWING
4250,0.557,-0.642,-0.291,0.898,24.1,4.3,-53.4,58.74,ARM_SWING
4300,0.567,-0.635,-0.258,0.890,17.9,14.7,-69.8,73.54,ARM_SWING
4350,0.670,-0.658,-0.341,0.999,8.4,22.4,-83.1,86.48,ARM_SWING
4400,0.727,-0.632,-0.352,1.026,18.3,17.8,-86.3,90.00,ARM_SWING
4450,0.781,-0.681,-0.345,1.092,29.4,11.0,-92.8,97.97,ARM_SWING
4500,0.827,-0.660,-0.339,1.111,26.6,9.1,-91.1,95.34,ARM_SWING
4550,0.850,-0.659,-0.332,1.126,28.7,2.3,-83.4,88.23,ARM_SWING
4600,0.860,-0.607,-0.299,1.094,15.5,-0.6,-73.7,75.31,ARM_SWING
4650,0.885,-0.605,-0.305,1.115,23.4,-4.4,-64.2,68.47,ARM_SWING
4700,0.883,-0.572,-0.272,1.087,-4.9,5.9,-49.7,50.29,ARM_SWING
4750,0.839,-0.440,-0.270,0.985,30.1,-1.5,-41.9,51.61,ARM_SWING
4800,0.843,-0.457,-0.311,1.008,37.8,0.1,-40.7,55.55,ARM_SWING
4850,0.801,-0.423,-0.282,0.949,6.7,-9.5,-36.5,38.31,ARM_SWING
4900,0.806,-0.493,-0.286,0.987,14.2,0.5,-36.8,39.45,ARM_SWING
4950,0.815,-0.521,-0.301,1.013,35.4,-0.4,-19.1,40.23,ARM_SWING
5000,0.806,-0.551,-0.260,1.010,29.9,-4.8,-4.0,30.55,ARM_SWING
5050,0.848,-0.549,-0.276,1.047,-5.9,1.6,17.1,18.16,ARM_SWING
5100,0.837,-0.477,-0.256,0.997,-32.4,-1.1,30.3,44.37,ARM_SWING
5150,0.777,-0.484,-0.266,0.953,-54.1,1.4,38.3,66.30,ARM_SWING
5200,0.904,-0.454,-0.295,1.054,-50.5,-5.8,41.8,65.81,ARM_SWING
5250,0.856,-0.504,-0.308,1.040,-8.9,-19.9,46.3,51.18,ARM_SWING
5300,0.847,-0.549,-0.299,1.053,-10.5,-9.6,51.5,53.43,ARM_SWING
5350,0.890,-0.584,-0.302,1.107,-7.7,-15.9,62.7,65.14,ARM_SWING
5400,0.919,-0.581,-0.317,1.133,8.1,-25.8,77.2,81.80,ARM_SWING
5450,0.879,-0.589,-0.325,1.107,10.3,-23.1,84.2,87.92,ARM_SWING
5500,0.841,-0.613,-0.328,1.091,3.4,-25.9,88.9,92.66,ARM_SWING
5550,0.804,-0.612,-0.319,1.060,-15.0,-19.4,87.5,90.87,ARM_SWING
5600,0.752,-0.593,-0.356,1.022,-20.3,-15.9,83.3,87.20,ARM_SWING
5650,0.692,-0.625,-0.356,0.998,-22.5,-17.1,74.6,79.77,ARM_SWING
5700,0.613,-0.624,-0.342,0.939,-17.3,-13.5,63.9,67.56,ARM_SWING
5750,0.547,-0.594,-0.327,0.871,-19.3,-8.1,48.2,52.55,ARM_SWING
5800,0.510,-0.586,-0.328,0.843,-19.2,-7.6,30.8,37.08,ARM_SWING
5850,0.500,-0.569,-0.315,0.820,-17.0,-3.1,11.0,20.48,ARM_SWING
5900,0.498,-0.564,-0.307,0.813,-13.5,7.0,-11.8,19.25,ARM_SWING
5950,0.556,-0.599,-0.331,0.882,-8.8,18.3,-30.5,36.64,ARM_SWING
6000,0.605,-0.618,-0.355,0.935,7.7,13.0,-39.5,42.29,ARM_SWING
6050,0.639,-0.601,-0.350,0.944,19.0,17.5,-47.9,54.42,ARM_SWING
6100,0.672,-0.600,-0.342,0.964,27.3,14.4,-65.0,71.96,ARM_SWING
6150,0.772,-0.639,-0.363,1.066,25.4,14.9,-73.8,79.46,ARM_SWING
6200,0.756,-0.634,-0.306,1.033,30.2,15.4,-72.9,80.40,ARM_SWING
6250,0.791,-0.614,-0.365,1.066,28.4,13.7,-77.4,83.58,ARM_SWING
6300,0.772,-0.644,-0.314,1.053,31.8,12.3,-74.9,82.30,ARM_SWING
6350,0.788,-0.665,-0.291,1.071,35.2,6.0,-76.7,84.60,ARM_SWING
6400,0.796,-0.641,-0.277,1.059,35.6,-1.8,-70.4,78.91,ARM_SWING
6450,0.798,-0.630,-0.258,1.049,38.5,2.5,-66.7,77.05,ARM_SWING
6500,0.793,-0.625,-0.236,1.037,29.7,-0.9,-51.8,59.72,ARM_SWING
6550,0.779,-0.500,-0.231,0.954,9.7,11.4,-46.3,48.66,ARM_SWING
6600,0.801,-0.598,-0.271,1.036,-0.1,-5.0,-23.2,23.73,ARM_SWING
6650,0.787,-0.573,-0.266,1.009,5.4,-4.3,-11.7,13.58,ARM_SWING
6700,0.782,-0.556,-0.279,0.999,37.9,-0.4,1.4,37.93,ARM_SWING
6750,0.779,-0.528,-0.261,0.977,28.7,0.0,8.4,29.90,ARM_SWING
6800,0.808,-0.532,-0.268,1.004,6.8,-1.0,17.7,18.99,ARM_SWING
6850,0.784,-0.545,-0.254,0.988,-10.5,-18.2,25.4,32.96,ARM_SWING
6900,0.809,-0.583,-0.285,1.037,-30.5,-12.6,28.9,43.87,ARM_SWING
6950,0.819,-0.585,-0.246,1.036,-30.4,-19.2,36.8,51.45,ARM_SWING
7000,0.830,-0.631,-0.237,1.069,-29.9,-14.2,44.1,55.14,ARM_SWING
7050,0.870,-0.621,-0.216,1.091,-20.3,-9.9,53.8,58.35,ARM_SWING
7100,0.831,-0.631,-0.199,1.062,-21.7,-1.5,65.6,69.11,ARM_SWING
7150,0.810,-0.588,-0.221,1.025,-36.5,9.8,72.1,81.40,ARM_SWING
7200,0.820,-0.579,-0.250,1.034,-35.9,4.2,64.1,73.59,ARM_SWING
7250,0.810,-0.631,-0.282,1.065,-28.7,1.6,65.9,71.90,ARM_SWING
7300,0.770,-0.679,-0.326,1.077,-28.8,-1.6,73.7,79.14,ARM_SWING
7350,0.719,-0.674,-0.336,1.041,-29.6,1.7,72.2,78.05,ARM_SWING
7400,0.680,-0.717,-0.363,1.053,-23.2,-5.8,76.7,80.34,ARM_SWING
7450,0.622,-0.686,-0.365,0.995,-21.0,-8.5,75.5,78.83,ARM_SWING
7500,0.573,-0.661,-0.367,0.949,-20.2,-6.7,63.0,66.50,ARM_SWING
7550,0.526,-0.622,-0.359,0.890,-17.0,-7.9,51.2,54.52,ARM_SWING
7600,0.508,-0.582,-0.340,0.844,-15.7,-8.4,31.0,35.75,ARM_SWING
7650,0.513,-0.569,-0.325,0.832,-11.2,-5.8,4.7,13.46,ARM_SWING
7700,0.522,-0.566,-0.316,0.832,-5.8,-1.4,-14.6,15.77,ARM_SWING
7750,0.537,-0.611,-0.337,0.880,6.3,1.4,-32.2,32.84,ARM_SWING
7800,0.564,-0.649,-0.346,0.927,19.4,-3.1,-42.9,47.18,ARM_SWING
7850,0.601,-0.671,-0.337,0.962,25.2,-4.6,-54.1,59.86,ARM_SWING
